precise	kind	title	path	declaration
c:@E@UNErrorCode@UNErrorCodeNotificationsNotAllowed	swift.enum.case	UNError.Code.notificationsNotAllowed	UNError.Code.notificationsNotAllowed	case notificationsNotAllowed
c:@E@UNNotificationActionOptions	swift.struct	UNNotificationActionOptions	UNNotificationActionOptions	struct UNNotificationActionOptions
c:@E@UNNotificationActionOptions@UNNotificationActionOptionAuthenticationRequired	swift.type.property	authenticationRequired	UNNotificationActionOptions.authenticationRequired	static var authenticationRequired: UNNotificationActionOptions { get }
c:@E@UNNotificationActionOptions@UNNotificationActionOptionDestructive	swift.type.property	destructive	UNNotificationActionOptions.destructive	static var destructive: UNNotificationActionOptions { get }
c:@E@UNNotificationActionOptions@UNNotificationActionOptionForeground	swift.type.property	foreground	UNNotificationActionOptions.foreground	static var foreground: UNNotificationActionOptions { get }
c:@E@UNNotificationCategoryOptions	swift.struct	UNNotificationCategoryOptions	UNNotificationCategoryOptions	struct UNNotificationCategoryOptions
c:@E@UNNotificationCategoryOptions@UNNotificationCategoryOptionAllowAnnouncement	swift.type.property	allowAnnouncement	UNNotificationCategoryOptions.allowAnnouncement	static var allowAnnouncement: UNNotificationCategoryOptions { get }
c:@E@UNNotificationCategoryOptions@UNNotificationCategoryOptionAllowInCarPlay	swift.type.property	allowInCarPlay	UNNotificationCategoryOptions.allowInCarPlay	static var allowInCarPlay: UNNotificationCategoryOptions { get }
c:@E@UNNotificationCategoryOptions@UNNotificationCategoryOptionCustomDismissAction	swift.type.property	customDismissAction	UNNotificationCategoryOptions.customDismissAction	static var customDismissAction: UNNotificationCategoryOptions { get }
c:@E@UNNotificationCategoryOptions@UNNotificationCategoryOptionHiddenPreviewsShowSubtitle	swift.type.property	hiddenPreviewsShowSubtitle	UNNotificationCategoryOptions.hiddenPreviewsShowSubtitle	static var hiddenPreviewsShowSubtitle: UNNotificationCategoryOptions { get }
c:@E@UNNotificationCategoryOptions@UNNotificationCategoryOptionHiddenPreviewsShowTitle	swift.type.property	hiddenPreviewsShowTitle	UNNotificationCategoryOptions.hiddenPreviewsShowTitle	static var hiddenPreviewsShowTitle: UNNotificationCategoryOptions { get }
c:@E@UNNotificationInterruptionLevel	swift.enum	UNNotificationInterruptionLevel	UNNotificationInterruptionLevel	enum UNNotificationInterruptionLevel
c:@E@UNNotificationInterruptionLevel@UNNotificationInterruptionLevelActive	swift.enum.case	UNNotificationInterruptionLevel.active	UNNotificationInterruptionLevel.active	case active
c:@E@UNNotificationInterruptionLevel@UNNotificationInterruptionLevelCritical	swift.enum.case	UNNotificationInterruptionLevel.critical	UNNotificationInterruptionLevel.critical	case critical
c:@E@UNNotificationInterruptionLevel@UNNotificationInterruptionLevelPassive	swift.enum.case	UNNotificationInterruptionLevel.passive	UNNotificationInterruptionLevel.passive	case passive
c:@E@UNNotificationInterruptionLevel@UNNotificationInterruptionLevelTimeSensitive	swift.enum.case	UNNotificationInterruptionLevel.timeSensitive	UNNotificationInterruptionLevel.timeSensitive	case timeSensitive
c:@E@UNNotificationPresentationOptions	swift.struct	UNNotificationPresentationOptions	UNNotificationPresentationOptions	struct UNNotificationPresentationOptions
c:@E@UNNotificationPresentationOptions@UNNotificationPresentationOptionAlert	swift.type.property	alert	UNNotificationPresentationOptions.alert	static var alert: UNNotificationPresentationOptions { get }
c:@E@UNNotificationPresentationOptions@UNNotificationPresentationOptionBadge	swift.type.property	badge	UNNotificationPresentationOptions.badge	static var badge: UNNotificationPresentationOptions { get }
