precise	kind	title	path	declaration
s:8AlarmKit0A0V6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	Alarm.encode(to:)	func encode(to encoder: any Encoder) throws
s:8AlarmKit0A0V8ScheduleO	swift.enum	Alarm.Schedule	Alarm.Schedule	enum Schedule
s:8AlarmKit0A0V8ScheduleO2eeoiySbAE_AEtFZ	swift.func.op	==(_:_:)	Alarm.Schedule.==(_:_:)	static func == (a: Alarm.Schedule, b: Alarm.Schedule) -> Bool
s:8AlarmKit0A0V8ScheduleO4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	Alarm.Schedule.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A0V8ScheduleO4hash4intoys6HasherVz_tF	swift.method	hash(into:)	Alarm.Schedule.hash(into:)	func hash(into hasher: inout Hasher)
s:8AlarmKit0A0V8ScheduleO5fixedyAE10Foundation4DateVcAEmF	swift.enum.case	Alarm.Schedule.fixed(_:)	Alarm.Schedule.fixed(_:)	case fixed(Date)
s:8AlarmKit0A0V8ScheduleO6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	Alarm.Schedule.encode(to:)	func encode(to encoder: any Encoder) throws
s:8AlarmKit0A0V8ScheduleO8RelativeV	swift.struct	Alarm.Schedule.Relative	Alarm.Schedule.Relative	struct Relative
s:8AlarmKit0A0V8ScheduleO8RelativeV10RecurrenceO	swift.enum	Alarm.Schedule.Relative.Recurrence	Alarm.Schedule.Relative.Recurrence	enum Recurrence
s:8AlarmKit0A0V8ScheduleO8RelativeV10RecurrenceO2eeoiySbAI_AItFZ	swift.func.op	==(_:_:)	Alarm.Schedule.Relative.Recurrence.==(_:_:)	static func == (a: Alarm.Schedule.Relative.Recurrence, b: Alarm.Schedule.Relative.Recurrence) -> Bool
s:8AlarmKit0A0V8ScheduleO8RelativeV10RecurrenceO4fromAIs7Decoder_p_tKcfc	swift.init	init(from:)	Alarm.Schedule.Relative.Recurrence.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A0V8ScheduleO8RelativeV10RecurrenceO4hash4intoys6HasherVz_tF	swift.method	hash(into:)	Alarm.Schedule.Relative.Recurrence.hash(into:)	func hash(into hasher: inout Hasher)
s:8AlarmKit0A0V8ScheduleO8RelativeV10RecurrenceO5neveryA2ImF	swift.enum.case	Alarm.Schedule.Relative.Recurrence.never	Alarm.Schedule.Relative.Recurrence.never	case never
s:8AlarmKit0A0V8ScheduleO8RelativeV10RecurrenceO6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	Alarm.Schedule.Relative.Recurrence.encode(to:)	func encode(to encoder: any Encoder) throws
s:8AlarmKit0A0V8ScheduleO8RelativeV10RecurrenceO6weeklyyAISay10Foundation6LocaleV7WeekdayOGcAImF	swift.enum.case	Alarm.Schedule.Relative.Recurrence.weekly(_:)	Alarm.Schedule.Relative.Recurrence.weekly(_:)	case weekly([Locale.Weekday])
s:8AlarmKit0A0V8ScheduleO8RelativeV10RecurrenceO9hashValueSivp	swift.property	hashValue	Alarm.Schedule.Relative.Recurrence.hashValue	var hashValue: Int { get }
s:8AlarmKit0A0V8ScheduleO8RelativeV2eeoiySbAG_AGtFZ	swift.func.op	==(_:_:)	Alarm.Schedule.Relative.==(_:_:)	static func == (a: Alarm.Schedule.Relative, b: Alarm.Schedule.Relative) -> Bool
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV	swift.struct	Alarm.Schedule.Relative.Time	Alarm.Schedule.Relative.Time	struct Time
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV2eeoiySbAI_AItFZ	swift.func.op	==(_:_:)	Alarm.Schedule.Relative.Time.==(_:_:)	static func == (a: Alarm.Schedule.Relative.Time, b: Alarm.Schedule.Relative.Time) -> Bool
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV4fromAIs7Decoder_p_tKcfc	swift.init	init(from:)	Alarm.Schedule.Relative.Time.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV4hash4intoys6HasherVz_tF	swift.method	hash(into:)	Alarm.Schedule.Relative.Time.hash(into:)	func hash(into hasher: inout Hasher)
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV4hour6minuteAISi_Sitcfc	swift.init	init(hour:minute:)	Alarm.Schedule.Relative.Time.init(hour:minute:)	init(hour: Int, minute: Int)
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV4hourSivp	swift.property	hour	Alarm.Schedule.Relative.Time.hour	var hour: Int
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	Alarm.Schedule.Relative.Time.encode(to:)	func encode(to encoder: any Encoder) throws
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV6minuteSivp	swift.property	minute	Alarm.Schedule.Relative.Time.minute	var minute: Int
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV9hashValueSivp	swift.property	hashValue	Alarm.Schedule.Relative.Time.hashValue	var hashValue: Int { get }
s:8AlarmKit0A0V8ScheduleO8RelativeV4fromAGs7Decoder_p_tKcfc	swift.init	init(from:)	Alarm.Schedule.Relative.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A0V8ScheduleO8RelativeV4hash4intoys6HasherVz_tF	swift.method	hash(into:)	Alarm.Schedule.Relative.hash(into:)	func hash(into hasher: inout Hasher)
s:8AlarmKit0A0V8ScheduleO8RelativeV4time7repeatsA2G4TimeV_AG10RecurrenceOtcfc	swift.init	init(time:repeats:)	Alarm.Schedule.Relative.init(time:repeats:)	init(time: Alarm.Schedule.Relative.Time, repeats: Alarm.Schedule.Relative.Recurrence = .never)
s:8AlarmKit0A0V8ScheduleO8RelativeV4timeAG4TimeVvp	swift.property	time	Alarm.Schedule.Relative.time	var time: Alarm.Schedule.Relative.Time
s:8AlarmKit0A0V8ScheduleO8RelativeV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	Alarm.Schedule.Relative.encode(to:)	func encode(to encoder: any Encoder) throws
s:8AlarmKit0A0V8ScheduleO8RelativeV7repeatsAG10RecurrenceOvp	swift.property	repeats	Alarm.Schedule.Relative.repeats	var repeats: Alarm.Schedule.Relative.Recurrence
s:8AlarmKit0A0V8ScheduleO8RelativeV9hashValueSivp	swift.property	hashValue	Alarm.Schedule.Relative.hashValue	var hashValue: Int { get }
s:8AlarmKit0A0V8ScheduleO8relativeyA2E8RelativeVcAEmF	swift.enum.case	Alarm.Schedule.relative(_:)	Alarm.Schedule.relative(_:)	case relative(Alarm.Schedule.Relative)
s:8AlarmKit0A0V8ScheduleO9hashValueSivp	swift.property	hashValue	Alarm.Schedule.hashValue	var hashValue: Int { get }
s:8AlarmKit0A0V8scheduleAC8ScheduleOSgvp	swift.property	schedule	Alarm.schedule	var schedule: Alarm.Schedule?
s:8AlarmKit0A10AttributesV	swift.struct	AlarmAttributes	AlarmAttributes	struct AlarmAttributes<Metadata> where Metadata : AlarmMetadata
